uploaded|uniqueID|salutation|jobtitle|institution|fit|teaching|customCLskip|fourthLOR|desire
False|EXAMPLE|Dear Junior Faculty Recruitment Committee,|EXAMPLE|the Graduate School of Business at Columbia University|I think my record of research and teaching makes me a strong fit for the position.|\generalteach|\bigskip|Fernando Alvarez,~|On top of my desire to do research in a vibrant intellectual environment, I am excited about the prospect of moving back to New York State, where my family is, and being in New York City in particular, where my wife can find ample opportunities to continue her work in academic medicine.
True|BatesCollege|Dear Junior Faculty Recruitment Committee,|Assistant Professor of Economics|Bates College|I think my record of research and teaching makes me a strong fit for the position.|\LAC|\bigskip|Sid Kankanala,~|~
FALSE|ManagementCBS|Dear Junior Faculty Recruitment Committee,|Assistant Professor|the Management Division of Columbia Business School|I think my record of research and teaching makes me a strong fit for the position.|\MBA|\bigskip|Sid Kankanala,~|
FALSE|UNC|Dear Junior Faculty Recruitment Committee,|Assistant Professor|the Economics Department of the University of North Carolina at Chapel Hill|I think my record of research and teaching makes me a strong fit for the position.|\generalteach|\bigskip|Sid Kankanala,~|
FALSE|PolEconGSB|Dear Junior Faculty Recruitment Committee,|Assistant Professor of Political Economy|Stanford Graduate School of Business|I think my record of research and teaching makes me a strong fit for the position.|\MBA|\bigskip|Sid Kankanala,~|
FALSE|SIEPR|Dear Postdoctoral Fellows Recruitment Committee,|SIEPR Postdoctoral Fellow in Applied Economics|Stanford University|I think my record of policy-oriented research makes me a strong fit for the position.||\bigskip|Sid Kankanala,~|During my time at SIEPR, I would be particularly excited to work with Allan Hsiao, Marcel Fafchamps, and Melanie Morten.
FALSE|HKS|Dear Junior Faculty Recruitment Committee,|Assistant Professor of Public Policy|the Harvard Kennedy School|I think my record of policy-oriented research makes me a strong fit for the position.|\MPP|\bigskip|Sid Kankanala,~|
FALSE|BostonCollege|Dear Junior Faculty Recruitment Committee,|Assistant Professor of Economics|Boston College|I think my record of research and teaching makes me a strong fit for the position.|\generalteach|\bigskip|Sid Kankanala,~|
FALSE|PennState|Dear Junior Faculty Recruitment Committee,|Assistant Professor of Economics|The Pennsylvania State University|I think my record of research and teaching makes me a strong fit for the position.|\generalteach|\bigskip|Sid Kankanala,~|
FALSE|UPF|Dear Junior Faculty Recruitment Committee,|Assistant Professor|Universitat Pompeu Fabra|I think my record of research and teaching makes me a strong fit for the position.|\generalteach|\bigskip|Sid Kankanala,~|
FALSE|UIUC|Dear Junior Faculty Recruitment Committee,|Assistant Professor of Economics|the University of Illinois at Urbana-Champaign|I think my record of research and teaching makes me a strong fit for the position.|\generalteach|\bigskip|Sid Kankanala,~|
FALSE|UCDAG|Dear Junior Faculty Recruitment Committee,|Assistant Professor of Agricultural and Resource Economics|the Department of Agricultural and Resource Economics in the College of Agricultural and Environmental Sciences, at the University of California, Davis|I think my record of policy-oriented research makes me a strong fit for the position.|\generalteach|\bigskip|Sid Kankanala,~|
FALSE|EUI|Dear Junior Faculty Recruitment Committee,|Assistant Professor|the EUI|I think my record of research and teaching makes me a strong fit for the position.|\MPP|\medskip|Sid Kankanala,~|I am particularly excited about the position at the EUI, not only because I think my research agenda can contribute to the existing strengths of the department, but also because my partner's family is based in Florence and I would be thrilled to live and work nearby.
